Risk Factor ;Medical Context ;ICD Codes;Drug Names ;Keywords ;Abbreviations ;Negation Caveats;Reference
Prior MRSA;History of MRSA colonization or infection;Z22.322 | Z86.14 | A49.02;vancomycin | teicoplanin | telavancin | ceftaroline | daptomycin | linezolid | sivextro | tedizolid;“MRSA colonization” | “MRSA infection” | “known MRSA” | “history MRSA” | “prior MRSA” | “MRSA carrier” | “MRSA positive”;VAN | TEC | TEI | TP | TPL;;"https://www.mdpi.com/2079-6382/11/5/606; https://www.drugs.com/monograph/vancomycin.html; https://www.drugs.com/international/teicoplanin.html; https://microbiologie-clinique.com/antibiotic-family-abbreviation.html"
Prior Staph;History of Staphylococcus Aureus colonization or infection (MSSA);Z22.321 | A49.01;oxacillin | nafcillin | cefazollin;“MSSA” | “SA infection” | “S. Aureus” | “staph infection” | “staphylococcus aureus”;MSSA | SA | SAB;;https://www.hopkinsguides.com/hopkins/view/Johns_Hopkins_ABX_Guide/540518/all/Staphylococcus_aureus
Corticosteroid Use;"Immune suppression; Skin barrier disruption";Z79.5;prednisone | methylprednisolone | dexamethasone | prednisolone | budesonide | bethamethasone | triamcinolone | cortisone | hydrocortisone | fludrocortisone | ethamethasoneb;"""on steroids"" | ""steroid therapy"" | “corticosteroid"" | “chronic steroid use” | “long-term steroid”";pred | MP | dex;exclude topical or inhaled only;
Immunosuppressant Use;"Anti-rejection; DMARD agents";Z79.60 | Z79.62;azathioprine | cyclosporine | etanercept | methotrexate | mycophenolate mofetil | tacrolimus | adalimumab | infliximab | sirolimus;“immunosuppressants” | “immunosuppressive drug” | “on immunosuppression” | “DMARD” | “biologic therapy”;MTX | AZA | MMF;;https://my.clevelandclinic.org/health/treatments/10418-immunosuppressants
Central Venous Catheter;"Invasive vascular devices breaches skin barrier; Primary rout for catheter-related bacteremia (CLABSI)";-;-;"""central line"" | ""c-line"" | ""central venous catheter"" | ""central venous line"" | ""central venous access catheter” | “port-a-cath” | “tunnelled catheter” | “peripherally inserted central catheter”";CVC | PICC;;"https://en.wikipedia.org/wiki/Central_venous_catheter; https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/central-line-and-central-line-placement"
Hemodialysis;Vascular access for hemodialysis is recurrent infection portal;Z99.2;-;"“hemodialysis"" | “haemodialysis"" | “dialyzer"" | “AV fistulas” | “AV graft” | “shunt”";HD;;https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure/hemodialysis
Peritoneal Dialysis;Peritoneal catheter is infection portal;-;-;“peritoneal dialysis” | “PD catheter”;APD | CAPD;;
ICU Admission;High colonisation pressure;-;-;"""intensive-care unit” | “intensive care unit” | “intensive therapy unit” | “intensive treatment unit” | “critical care unit”";ICU | ITU;;
Invasive Mechanical Ventilation;"Endotracheal intubation bypasses upper airway defenses; Risk of ventilator-associated pneumonia";-;-;“mechanical ventilation” | “assisted ventilation” | “ventilator” | “intubated” | “intubation” | “endotracheal tube”;ETT;;
Surgical Procedure;Skin integrity breach;-;-;“surgical procedure” | “surgical intervention” | “surgery” | “operation” | “post-operative” | “s/p surgery”;-;;
Organ Impairment;Critical illness;N17 | N18 | N19 | N28.9 | K72 | I50 | G93.4 | F06.7 | R65.1;-;"""organ impairment"" | ""organ dysfunction"" | ""organ failure"" | ""organ malfunction"" | ""multiple organ dysfunction syndrome""";MODS;;https://my.clevelandclinic.org/health/diseases/multiple-organ-dysfunction-syndrome
Organ Transplant;Lifelong pharmacologic immunosuppression;Z94.0 | Z94.1 | Z94.2 | Z94.3 | Z94.4 | Z94.5;tacrolimus | cyclosporine | mycophenolate mofetil | sirolimus;“organ transplant” | “transplanted organ” | “s/p transplant” | “liver transplant” | “kidney transplant” | “renal transplant”;ATG;;
Bone Marrow Transplant;Profound immunosuppression;Z94.81;-;“bone marrow transplant” | “stem cell transplant” | “allogeneic transplant” | “autologous transplant”;HSCT;;
Diabetes Mellitus;Hyperglycemia impairs neutrophil function and wound healing;E10 | E11;insulin | metformin | glipizide | glimepiride | glyburide;"""diabetes mellitus"" | ""diabetic"" | ""insulin replacement""";DM | T1D | T2D | IDDM | NIDDM;;"https://www.researchgate.net/publication/396455639_Comparative_Review_of_Drugs_Used_in_Diabetes_Mellitus-New_and_Old; https://pmc.ncbi.nlm.nih.gov/articles/PMC6501476/"
Chronic Kidney Disease;Unemia-associated immune dysfunction;N18;-;“chronic kidney disease”;CKD;;
HIV AIDS;CD4-mediated immunodeficiency;B20;-;"""human immunodeficiency virus"" | “HIV"" | “AIDS” | “acquired immunodeficiency syndrome”";HIV | ART | NRTI | NNRTI | HAART;;https://hivinfo.nih.gov/understanding-hiv/fact-sheets/fda-approved-hiv-medicines
Hematologic Malignancy;Disease- and treatment-related neutropenia and immune dysregulation;C81 | C82 | C83 | C84 | C85 | C90 | C91 | C92 | C93 | C94 | C95;-;“hematologic malignancy” | “blood cancer” | “leukemia” | “myeloma” | “lymphoma”;AML | AML | CLL | CML | NHL;;
Solid Malignancy;Tumor- and treatment-related immunosuppression;C80 | C50 | C61 | C34 | C18 | C25;-;“solid malignancy” | “solid cancer” | “solid tumour” | “carcinoma” | “sarcoma”;-;;
Prior Antibiotic Exposure ;Selects for resistant organisms;-;amoxicillin | doxycicline | cephalexin | cefalexin | ciprofloxacin | clindamycin | metronidazole | azithromycin | sulfamethoxazole | trimethoprim | levofloxacin;"""antibiotic"" | ""antibacterial"" | “antimicrobial therapy” | “antibiotics”";AMX | CIP | CLI | AZM | LEVO | SMX-TMP;;"https://www.drugs.com/article/antibiotics.html; https://microbiologie-clinique.com/antibiotic-family-abbreviation.html"
LTC SNF Residence;High MRSA colonisation environment;-;-;"""nursing home” | “long-term care facility” | “skilled nursing facility” | “rehab facility” | “assisted living”";LTCF | LTC | SNF;;https://www.cdc.gov/nhsn/pdfs/ltc/ltcf-key-terms-acronyms_current.pdf
Wound Infection;Direct portal of entry;S01 | S11 | S21 | S31 | S41 | S51 | S61 | S71 | S81 | S91;-;"“wound infection"" | “infected wound” | “purulent discharge”";-;;
Foley Catheter;Infection portal;-;-;"""catheter"" | ""urine catheter” | “foley catheter” | “indwelling catheter” | “catheter-associated UTI”";IUC | CAUTI;;
Neutropenia;Severely impaired innate immunity;D70;-;“neutropenia” | “neutropenic” | “ANC low”;GCSF | G-CSF;;
Rheumatic Disease;Immunosuppressive therapy;M79.0 | M05 | M06 | M32 | M35;-;“rheumatism” | “rheumatic disorder” | “rheumatic disease” | ”rheumatoid arthritis” | “lupus” | “connective tissue disease” | “erythematosus”;RA | SLE;;
Bacteremia;Bloodstream infection evidence;R78.81 | A49.9;-;"""bacterial infection” | “bloodstream infection” | “positive blood culture” ";BSI;;
Sepsis;Systemic infection severity marker;A41 | R65.2;-;“sepsis” | “blood poisoning” | “septic shock”;-;;
Coronary Artery Disease;"Comorbidity; chronic disease";I25;aspirin | atorvastatin | amlodipine | metoprolol;"“coronary artery disease” | ""bypass"" | ""statin therapy"" | “beta blockers"" | ""beta blocker therapy""";CAD;;https://www.aafp.org/afp/2018/0315/p376
Respiratory Failure;Critical illness with impaired airway clearance and frequent instrumentation;J96 | J95.82;-;"“tracheostomy"" | “respiratory failure"" | ""ECMO""";NVVP;;https://www.nhlbi.nih.gov/health/respiratory-failure/treatment
Difficulty swallowing;Raised aspiration risk;R13.1;-;"“dysphagia"" | “difficulty swallowing” | “aspiration risk”";-;;
Receipt of Transfusion;"Transfusion-related immunomodulation (TRIM); vascular access exposure";-;-;"""blood transfusion"" | “transfusion"" | “packed red blood cells”";PRBC;;
Advanced Age;Age-related immune decline;-;-;“elderly” | “geriatric” | “nonagenarian” | “octogenarian” | “advanced age”;-;;https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0065277608600474
Previous Hospital Stay;Prior healthcare exposure and colonization pressure;-;-;"“previously hospitalized"" | “prior admission” | “recent hospitalization” | “readmission” | “recently discharged”";-;;
Skin or Soft Tissue Infection;Portal of entry and possible MRSA source;L00 | L01 | L02 | L03 | L04 | L05 | L08;-;"""skin infection"" | ""soft-tissue infection”";SSTI;;https://www.unmc.edu/intmed/_documents/id/asp/clinicpath-ssti.pdf
Injection Drug Use;"Skin barrier disruption; substance-associated risk";F11;-;"""injection drug use"" | ""drug injection"" | ""substance use” | “intravenous drug use” | “intravenous drug abuse”";IDU | IVDU | PWID;;